Date Sampled,Address,1st Draw,2nd Draw,3rd Draw,4th Draw,5th Draw,6th Draw,7th Draw,8th Draw,9th Draw,10th Draw,11th Draw,3 Minute,5 Minute,7 Minute,10 Minute,15 Minute,20 Minute,geodata,place_id,osm_type,osm_id,boundingbox,lat,lon,display_name,class,type,importance,road,neighbourhood,suburb
9/4/2019,100XX S Bell Ave,1.52,1.37,1.59,2.53,2.44,1.9,2.45,2.92,3.75,3.86,4.35,1.09,-1.0,-1.0,-1.0,-1.0,-1.0,"{""place_id"": 151999673, ""licence"": ""Data ï¿½ OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"", ""osm_type"": ""way"", ""osm_id"": 194962481, ""boundingbox"": [""41.8298961"", ""41.8303315"", ""-87.6813753"", ""-87.681369""], ""lat"": ""41.8302578"", ""lon"": ""-87.6813742"", ""display_name"": ""South Bell Avenue, Ducktown, McKinley Park, Chicago, Cook County, Illinois, 60608, United States"", ""class"": ""highway"", ""type"": ""residential"", ""importance"": 0.6200099999999998, ""address"": {""road"": ""South Bell Avenue"", ""neighbourhood"": ""Ducktown"", ""suburb"": ""McKinley Park"", ""city"": ""Chicago"", ""county"": ""Cook County"", ""state"": ""Illinois"", ""ISO3166-2-lvl4"": ""US-IL"", ""postcode"": ""60608"", ""country"": ""United States"", ""country_code"": ""us""}}
",151999673.0,way,194962481.0,"['41.8298961', '41.8303315', '-87.6813753', '-87.681369']",41.8302578,-87.6813742,"South Bell Avenue, Ducktown, McKinley Park, Chicago, Cook County, Illinois, 60608, United States",highway,residential,0.6200099999999998,South Bell Avenue,Ducktown,McKinley Park
7/16/2016,100XX S Calhoun Ave,3.7,2.62,8.83,13.8,13.2,13.6,12.3,11.8,10.8,8.01,2.75,2.8,-1.0,-1.0,-1.0,-1.0,-1.0,"{""place_id"": 198718012, ""licence"": ""Data ï¿½ OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"", ""osm_type"": ""way"", ""osm_id"": 398904861, ""boundingbox"": [""41.7027818"", ""41.7081424"", ""-87.5620899"", ""-87.56202""], ""lat"": ""41.7045913"", ""lon"": ""-87.5620376"", ""display_name"": ""South Calhoun Avenue, Trumbull Park Terrace, South Deering, Chicago, Hyde Park Township, Cook County, Illinois, 60617, United States"", ""class"": ""highway"", ""type"": ""residential"", ""importance"": 0.6199999999999999, ""address"": {""road"": ""South Calhoun Avenue"", ""neighbourhood"": ""Trumbull Park Terrace"", ""suburb"": ""South Deering"", ""city"": ""Chicago"", ""municipality"": ""Hyde Park Township"", ""county"": ""Cook County"", ""state"": ""Illinois"", ""ISO3166-2-lvl4"": ""US-IL"", ""postcode"": ""60617"", ""country"": ""United States"", ""country_code"": ""us""}}
",198718012.0,way,398904861.0,"['41.7027818', '41.7081424', '-87.5620899', '-87.56202']",41.7045913,-87.5620376,"South Calhoun Avenue, Trumbull Park Terrace, South Deering, Chicago, Hyde Park Township, Cook County, Illinois, 60617, United States",highway,residential,0.6199999999999999,South Calhoun Avenue,Trumbull Park Terrace,South Deering
12/17/2019,100XX S Calumet Ave,4.02,5.35,6.97,6.55,17.7,16.6,12.1,11.6,12.0,11.1,8.72,3.83,-1.0,-1.0,-1.0,-1.0,-1.0,"{""place_id"": 285218663, ""licence"": ""Data ï¿½ OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"", ""osm_type"": ""way"", ""osm_id"": 976526248, ""boundingbox"": [""41.7801361"", ""41.7803908"", ""-87.6172609"", ""-87.6171934""], ""lat"": ""41.7802976"", ""lon"": ""-87.6172203"", ""display_name"": ""South Calumet Avenue, Greater Grand Crossing, Washington Park, Chicago, Hyde Park Township, Cook County, Illinois, 60637, United States"", ""class"": ""highway"", ""type"": ""residential"", ""importance"": 0.6200099999999998, ""address"": {""road"": ""South Calumet Avenue"", ""neighbourhood"": ""Greater Grand Crossing"", ""suburb"": ""Washington Park"", ""city"": ""Chicago"", ""municipality"": ""Hyde Park Township"", ""county"": ""Cook County"", ""state"": ""Illinois"", ""ISO3166-2-lvl4"": ""US-IL"", ""postcode"": ""60637"", ""country"": ""United States"", ""country_code"": ""us""}}
",285218663.0,way,976526248.0,"['41.7801361', '41.7803908', '-87.6172609', '-87.6171934']",41.7802976,-87.6172203,"South Calumet Avenue, Greater Grand Crossing, Washington Park, Chicago, Hyde Park Township, Cook County, Illinois, 60637, United States",highway,residential,0.6200099999999998,South Calumet Avenue,Greater Grand Crossing,Washington Park
7/14/2021,100XX S Carpenter St,14.0,11.0,8.83,8.12,8.69,7.14,11.0,7.51,8.5,8.01,-1.0,3.25,2.54,-1.0,-1.0,-1.0,-1.0,"{""place_id"": 140470119, ""licence"": ""Data ï¿½ OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"", ""osm_type"": ""way"", ""osm_id"": 151428239, ""boundingbox"": [""41.8694719"", ""41.8726581"", ""-87.6533123"", ""-87.6532149""], ""lat"": ""41.8714384"", ""lon"": ""-87.6532663"", ""display_name"": ""South Carpenter Street, University Village/Little Italy, Near West Side, Chicago, Cook County, Illinois, 60607, United States"", ""class"": ""highway"", ""type"": ""residential"", ""importance"": 0.6199999999999999, ""address"": {""road"": ""South Carpenter Street"", ""neighbourhood"": ""University Village/Little Italy"", ""suburb"": ""Near West Side"", ""city"": ""Chicago"", ""county"": ""Cook County"", ""state"": ""Illinois"", ""ISO3166-2-lvl4"": ""US-IL"", ""postcode"": ""60607"", ""country"": ""United States"", ""country_code"": ""us""}}
",140470119.0,way,151428239.0,"['41.8694719', '41.8726581', '-87.6533123', '-87.6532149']",41.8714384,-87.6532663,"South Carpenter Street, University Village/Little Italy, Near West Side, Chicago, Cook County, Illinois, 60607, United States",highway,residential,0.6199999999999999,South Carpenter Street,University Village/Little Italy,Near West Side
12/14/2019,100XX S Carpenter St,9.54,7.31,6.95,5.63,4.91,7.15,12.4,13.1,10.1,9.54,7.23,3.08,-1.0,-1.0,-1.0,-1.0,-1.0,"{""place_id"": 140470119, ""licence"": ""Data ï¿½ OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"", ""osm_type"": ""way"", ""osm_id"": 151428239, ""boundingbox"": [""41.8694719"", ""41.8726581"", ""-87.6533123"", ""-87.6532149""], ""lat"": ""41.8714384"", ""lon"": ""-87.6532663"", ""display_name"": ""South Carpenter Street, University Village/Little Italy, Near West Side, Chicago, Cook County, Illinois, 60607, United States"", ""class"": ""highway"", ""type"": ""residential"", ""importance"": 0.6199999999999999, ""address"": {""road"": ""South Carpenter Street"", ""neighbourhood"": ""University Village/Little Italy"", ""suburb"": ""Near West Side"", ""city"": ""Chicago"", ""county"": ""Cook County"", ""state"": ""Illinois"", ""ISO3166-2-lvl4"": ""US-IL"", ""postcode"": ""60607"", ""country"": ""United States"", ""country_code"": ""us""}}
",140470119.0,way,151428239.0,"['41.8694719', '41.8726581', '-87.6533123', '-87.6532149']",41.8714384,-87.6532663,"South Carpenter Street, University Village/Little Italy, Near West Side, Chicago, Cook County, Illinois, 60607, United States",highway,residential,0.6199999999999999,South Carpenter Street,University Village/Little Italy,Near West Side
12/14/2021,100XX S Lasalle St,10.0,8.8,6.9,6.2,8.3,9.9,11.0,9.8,10.0,9.5,5.3,2.4,2.1,2.0,1.7,-1.0,-1.0,"{""place_id"": 204498495, ""licence"": ""Data ï¿½ OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"", ""osm_type"": ""way"", ""osm_id"": 435724060, ""boundingbox"": [""41.8781333"", ""41.8784131"", ""-87.6322475"", ""-87.6322422""], ""lat"": ""41.8782213"", ""lon"": ""-87.6322439"", ""display_name"": ""South LaSalle Street, Printer's Row, Loop, Chicago, Cook County, Illinois, 60604, United States"", ""class"": ""highway"", ""type"": ""secondary"", ""importance"": 0.6200099999999998, ""address"": {""road"": ""South LaSalle Street"", ""neighbourhood"": ""Printer's Row"", ""suburb"": ""Loop"", ""city"": ""Chicago"", ""county"": ""Cook County"", ""state"": ""Illinois"", ""ISO3166-2-lvl4"": ""US-IL"", ""postcode"": ""60604"", ""country"": ""United States"", ""country_code"": ""us""}}
",204498495.0,way,435724060.0,"['41.8781333', '41.8784131', '-87.6322475', '-87.6322422']",41.8782213,-87.6322439,"South LaSalle Street, Printer's Row, Loop, Chicago, Cook County, Illinois, 60604, United States",highway,secondary,0.6200099999999998,South LaSalle Street,Printer's Row,Loop
9/16/2016,100XX S Washtenaw Ave,2.72,2.73,2.98,3.06,6.33,10.2,10.4,10.4,11.1,11.9,11.4,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,"{""place_id"": 110251986, ""licence"": ""Data ï¿½ OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"", ""osm_type"": ""way"", ""osm_id"": 24099707, ""boundingbox"": [""41.8083249"", ""41.8177804"", ""-87.6920439"", ""-87.6917712""], ""lat"": ""41.8137787"", ""lon"": ""-87.6919232"", ""display_name"": ""South Washtenaw Avenue, South Brighton, Brighton Park, Chicago, Lake Township, Cook County, Illinois, 60632, United States"", ""class"": ""highway"", ""type"": ""residential"", ""importance"": 0.6200099999999998, ""address"": {""road"": ""South Washtenaw Avenue"", ""neighbourhood"": ""South Brighton"", ""suburb"": ""Brighton Park"", ""city"": ""Chicago"", ""municipality"": ""Lake Township"", ""county"": ""Cook County"", ""state"": ""Illinois"", ""ISO3166-2-lvl4"": ""US-IL"", ""postcode"": ""60632"", ""country"": ""United States"", ""country_code"": ""us""}}
",110251986.0,way,24099707.0,"['41.8083249', '41.8177804', '-87.6920439', '-87.6917712']",41.8137787,-87.6919232,"South Washtenaw Avenue, South Brighton, Brighton Park, Chicago, Lake Township, Cook County, Illinois, 60632, United States",highway,residential,0.6200099999999998,South Washtenaw Avenue,South Brighton,Brighton Park
1/8/2020,101XX S Dr Martin Luther King Jr Dr,3.67,1.47,1.81,2.39,3.27,5.47,6.27,3.56,1.71,1.35,1.09,0.58,-1.0,-1.0,-1.0,-1.0,-1.0,nan,,,,,,,,,,,,,
10/16/2019,101XX S Eberhart ,3.47,8.82,6.46,4.58,4.4,4.5,7.0,13.8,14.1,12.5,4.27,1.72,-1.0,-1.0,-1.0,-1.0,-1.0,nan,,,,,,,,,,,,,
3/23/2022,101XX S Lasalle St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,"{""place_id"": 204498495, ""licence"": ""Data ï¿½ OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"", ""osm_type"": ""way"", ""osm_id"": 435724060, ""boundingbox"": [""41.8781333"", ""41.8784131"", ""-87.6322475"", ""-87.6322422""], ""lat"": ""41.8782213"", ""lon"": ""-87.6322439"", ""display_name"": ""South LaSalle Street, Printer's Row, Loop, Chicago, Cook County, Illinois, 60604, United States"", ""class"": ""highway"", ""type"": ""secondary"", ""importance"": 0.6200099999999998, ""address"": {""road"": ""South LaSalle Street"", ""neighbourhood"": ""Printer's Row"", ""suburb"": ""Loop"", ""city"": ""Chicago"", ""county"": ""Cook County"", ""state"": ""Illinois"", ""ISO3166-2-lvl4"": ""US-IL"", ""postcode"": ""60604"", ""country"": ""United States"", ""country_code"": ""us""}}
",204498495.0,way,435724060.0,"['41.8781333', '41.8784131', '-87.6322475', '-87.6322422']",41.8782213,-87.6322439,"South LaSalle Street, Printer's Row, Loop, Chicago, Cook County, Illinois, 60604, United States",highway,secondary,0.6200099999999998,South LaSalle Street,Printer's Row,Loop
